"id","chemical_name","chemical_id","protein_name","protein_id","protein_class","relation_name","relation_type","relation_id","activity_type","activity_value","activity_source","activity_source_link","action_type"
478,butenafine,CHEBI:3238,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
479,carmofur,CHEBI:31360,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
480,celecoxib,CHEBI:41423,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
481,cefapirin,CHEBI:3545,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
482,chlorphenamine,CHEBI:52010,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
483,"chlorphenamine, combinations",CHEBI:52010,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
484,chlorpromazine,CHEBI:3647,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
485,cisapride,CHEBI:3720,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
486,clemastine,CHEBI:3738,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
487,"clemastine, combinations",CHEBI:3738,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
488,clomifene,CHEBI:3753,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
489,clomipramine,CHEBI:47780,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
490,cyclizine,CHEBI:3994,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
491,"cyclizine, combinations",CHEBI:3994,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
492,diphenhydramine,CHEBI:4636,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
493,"diphenhydramine, combinations",CHEBI:4636,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
494,domperidone,CHEBI:31515,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
495,doxapram,CHEBI:681848,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
496,econazole,CHEBI:4754,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
497,eperisone,CHEBI:77069,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
498,fluoxetine,CHEBI:5118,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
499,fluoxetine and psycholeptics,CHEBI:5118,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
500,hydroxyzine,CHEBI:5818,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
501,"hydroxyzine, combinations",CHEBI:5818,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
502,idebenone,CHEBI:31687,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
503,labetalol,CHEBI:6343,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
504,labetalol and other diuretics,CHEBI:6343,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
505,labetalol and thiazides,CHEBI:6343,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
506,lansoprazole,CHEBI:6375,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
507,"lansoprazole, amoxicillin and clarithromycin",CHEBI:6375,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
508,"lansoprazole, amoxicillin and levofloxacin",CHEBI:6375,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
509,"lansoprazole, amoxicillin and metronidazole",CHEBI:6375,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
510,"lansoprazole, clarithromycin and tinidazole",CHEBI:6375,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
511,"lansoprazole, combinations",CHEBI:6375,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
512,"lansoprazole, tetracycline and metronidazole",CHEBI:6375,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
513,lisuride,CHEBI:51164,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
514,loperamide,CHEBI:6532,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
515,"loperamide, combinations",CHEBI:6532,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
516,methapyrilene,CHEBI:6820,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
517,methylergometrine,CHEBI:6874,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
518,methylergometrine and oxytocin,CHEBI:6874,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
519,bupropion and naltrexone,CHEBI:7465,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
520,naltrexone,CHEBI:7465,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
521,metoclopramide,CHEBI:107736,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
522,miconazole,CHEBI:6923,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
523,"miconazole, combinations",CHEBI:6923,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
524,hydromorphone and naloxone,CHEBI:7459,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
525,naloxone,CHEBI:7459,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
526,orphenadrine (chloride),CHEBI:7789,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
527,orphenadrine (citrate),CHEBI:7789,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
528,"orphenadrine, combinations",CHEBI:7789,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
529,oxymetazoline,CHEBI:7862,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
530,paroxetine,CHEBI:7936,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
531,pergolide,CHEBI:63617,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
532,perhexiline,CHEBI:35553,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
533,phenelzine,CHEBI:8060,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
534,phentolamine,CHEBI:8081,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
535,physostigmine,CHEBI:27953,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
536,prochlorperazine,CHEBI:8435,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
537,promazine,CHEBI:8459,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
538,prednisolone and promethazine,CHEBI:8461,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
539,promethazine,CHEBI:8461,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
540,"promethazine, combinations",CHEBI:8461,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
541,propafenone,CHEBI:63619,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
542,propranolol,CHEBI:8499,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
543,propranolol and other antihypertensives,CHEBI:8499,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
544,propranolol and thiazides,CHEBI:8499,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
545,mepyramine,CHEBI:6762,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
546,quinidine,CHEBI:28593,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,7,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24786236,INHIBITOR
547,"quinidine, combinations excl. psycholeptics",CHEBI:28593,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,7,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24786236,INHIBITOR
548,"quinidine, combinations with psycholeptics",CHEBI:28593,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,7,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24786236,INHIBITOR
549,risperidone,CHEBI:8871,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
550,"dasabuvir, ombitasvir, paritaprevir and ritonavir",CHEBI:45409,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,DRUG MATRIX,"",""
551,lopinavir and ritonavir,CHEBI:45409,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,DRUG MATRIX,"",""
552,"ombitasvir, paritaprevir and ritonavir",CHEBI:45409,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,DRUG MATRIX,"",""
553,ritonavir,CHEBI:45409,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,DRUG MATRIX,"",""
554,rizatriptan,CHEBI:48273,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
555,stanozolol,CHEBI:9249,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
556,sulconazole,CHEBI:9325,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
557,tacrine,CHEBI:45980,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
558,terbinafine,CHEBI:9448,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
559,thioridazine,CHEBI:9566,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
560,ticlopidine,CHEBI:9588,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
561,triamterene,CHEBI:9671,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
562,trihexyphenidyl,CHEBI:9720,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
563,oxiconazole,CHEBI:7825,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
564,yohimbine,CHEBI:10093,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
565,methylnaltrexone bromide,CHEBI:136007,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
566,thiomersal,CHEBI:9546,Cytochrome P450 2D6,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
567,terfenadine,CHEBI:9453,Cytochrome P450 2J2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL17157,""
620,"rifampicin, pyrazinamide, ethambutol and isoniazid",CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
568,atazanavir and cobicistat,CHEBI:72291,Cytochrome P450 3A,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24900196,INHIBITOR
616,isoniazid,CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
569,cobicistat,CHEBI:72291,Cytochrome P450 3A,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24900196,INHIBITOR
570,darunavir and cobicistat,CHEBI:72291,Cytochrome P450 3A,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24900196,INHIBITOR
571,"emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat",CHEBI:72291,Cytochrome P450 3A,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24900196,INHIBITOR
572,"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat",CHEBI:72291,Cytochrome P450 3A,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,SCIENTIFIC LITERATURE,http://www.ncbi.nlm.nih.gov/pubmed/24900196,INHIBITOR
573,alprazolam,CHEBI:2611,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,3,WOMBAT-PK,"",""
574,amiodarone,CHEBI:2663,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,WOMBAT-PK,"",""
575,amprenavir,CHEBI:40050,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
576,astemizole,CHEBI:2896,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
577,atazanavir,CHEBI:37924,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
578,atazanavir and cobicistat,CHEBI:37924,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
579,atorvastatin,CHEBI:39548,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1487,""
580,"atorvastatin, acetylsalicylic acid and perindopril",CHEBI:39548,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1487,""
581,"atorvastatin, acetylsalicylic acid and ramipril",CHEBI:39548,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1487,""
582,"atorvastatin, amlodipine and perindopril",CHEBI:39548,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1487,""
583,atorvastatin and acetylsalicylic acid,CHEBI:39548,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1487,""
584,atorvastatin and amlodipine,CHEBI:39548,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1487,""
585,atorvastatin and ezetimibe,CHEBI:39548,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1487,""
586,bromocriptine,CHEBI:3181,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
587,buspirone,CHEBI:3223,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
588,candesartan,CHEBI:3348,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1014,""
589,candesartan and diuretics,CHEBI:3348,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1014,""
590,cefapirin,CHEBI:3545,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
591,chloramphenicol,CHEBI:17698,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
592,cisapride,CHEBI:3720,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
593,clotrimazole,CHEBI:3764,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,WOMBAT-PK,"",""
594,colchicine,CHEBI:27882,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
595,cyclophosphamide,CHEBI:4026,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
596,cycloserine,CHEBI:40009,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
597,ciclosporin,CHEBI:4031,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,5,WOMBAT-PK,"",""
598,dapsone,CHEBI:4325,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
599,diazepam,CHEBI:49575,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
600,dihydroergotamine,CHEBI:4562,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
601,"dihydroergotamine, combinations",CHEBI:4562,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
602,diltiazem,CHEBI:101278,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
603,docetaxel,CHEBI:4672,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
604,econazole,CHEBI:4754,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
605,ergotamine,CHEBI:64318,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
606,"ergotamine, combinations excl. psycholeptics",CHEBI:64318,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
607,"ergotamine, combinations with psycholeptics",CHEBI:64318,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
608,ethambutol,CHEBI:4877,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
609,ethambutol and isoniazid,CHEBI:4877,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
610,"rifampicin, pyrazinamide, ethambutol and isoniazid",CHEBI:4877,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,WOMBAT-PK,"",""
611,"azithromycin, fluconazole and secnidazole",CHEBI:46081,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
612,fluconazole,CHEBI:46081,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL106,""
613,idebenone,CHEBI:31687,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
614,indinavir,CHEBI:44032,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
615,ethambutol and isoniazid,CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
617,"isoniazid, combinations",CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
618,rifampicin and isoniazid,CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
619,"rifampicin, pyrazinamide and isoniazid",CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
621,streptomycin and isoniazid,CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
622,thioacetazone and isoniazid,CHEBI:6030,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
623,itraconazole,CHEBI:6076,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
624,ketoconazole,CHEBI:47519,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,7,WOMBAT-PK,"",""
625,lacidipine,CHEBI:135737,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
626,maprotiline,CHEBI:6690,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
627,metyrapone,CHEBI:44241,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
628,mezlocillin,CHEBI:6919,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,WOMBAT-PK,"",""
629,mibefradil,CHEBI:6920,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,WOMBAT-PK,"",""
630,miconazole,CHEBI:6923,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
631,"miconazole, combinations",CHEBI:6923,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,7,DRUG MATRIX,"",""
632,mifepristone,CHEBI:50692,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,WOMBAT-PK,"",""
633,"mifepristone, combinations",CHEBI:50692,Cytochrome P450 3A4,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,6,WOMBAT-PK,"",""
